"","Date","BO","C","CL","FV","GC","GF","HE","HG","LB","LE","NG","NKD","O","PA","PL","RB","RR","S","SI","SM","TU","TY","US","W"
"1",2010-01-04,NA,0.0174216649904345,0.0143822625859968,0.00241702780817812,0.0107879220204665,0.00758731059944328,0.00940399680113153,0.0149160239595003,0.0243070819112736,0.00707399916096626,0.0256783700448002,0.00656388265783359,0.0203183379888845,0.0278541617162384,0.0143299199948537,0.015527954184169,NA,0.0163800085547882,0.0177569909177479,NA,0.00122381390728035,0.00360009145892102,0.00569790610581793,0.0213179924586926
"2",2010-01-05,NA,0.0118940680430494,0.0146010913145414,0.00222566369857961,0.0102298369339104,0.00733622921931049,0.0157981837180376,0.0128546242787912,0.0148775183828961,0.00775731461742666,0.0261156783000217,0.00995844666488015,0.027383264182813,0.0206988020186366,0.0142362943986754,0.014988378885398,NA,0.0125670079420044,0.0170650117887849,NA,0.000940557561717864,0.00355675812586668,0.006627988500238,0.0147375731805921
"3",2010-01-06,NA,0.0138484914193031,0.0162411921242548,0.00244932439220438,0.0110076786440478,0.00544491467067916,0.0121205352222658,0.014645276881897,0.0410203303706569,0.00829423441254476,0.030604615548013,0.00736461934399029,0.0246548755528253,0.0248549976732011,0.0178010303917173,0.0165086780371624,NA,0.00910715896733614,0.0186512997131249,NA,0.00111710360386963,0.00376110264046511,0.00665366415196197,0.017477019680919
"4",2010-01-07,NA,0.0188452946170219,0.0138665761193499,0.00241420370912607,0.00955408378900976,0.00832691450811608,0.0130399878475937,0.0211141459765278,0.0193237909676056,0.0100652725777738,0.0438942473030137,0.00706542361979169,0.0169083574209868,0.0256783597691781,0.016480357026736,0.0133342905906016,NA,0.0187867609217223,0.0182335795665727,NA,0.00110713701901736,0.00337361208556323,0.00619784289046435,0.0189586190655546
"5",2010-01-08,NA,0.0169403316752359,0.0147687551380385,0.00422955870677303,0.0138073929319893,0.00731565257497942,0.0119664123147402,0.0176336278839721,0.0224714004864805,0.00880666602727801,0.0301998535629022,0.00796852095267751,0.0196127746509827,0.0241321864307286,0.0207160048840243,0.0152788915433364,NA,0.0132754187840514,0.0174605030822124,NA,0.0020096731970922,0.00538130283995591,0.00854217370658775,0.0205951979583385
"6",2010-01-11,NA,0.0125657112030082,0.0161643224331201,0.00192928222331528,0.0106998871519452,0.00652540203871775,0.0116615185511829,0.0162024086416543,0.0200935556528024,0.00544617515293291,0.0277560679037828,0.00806458441207686,0.0288153306093674,0.0175627011681276,0.0166153912303917,0.0159972084632824,NA,0.0106691333018159,0.018200808284413,NA,0.000877759633320506,0.00304600363510554,0.00519130319049268,0.0158275193327111
"7",2010-01-12,NA,0.0529210947532564,0.0178289832538181,0.00202537158275536,0.0152933439357561,0.0115321417732507,0.0138838523605784,0.0186450902107684,0.0262721911491949,0.00793829262195196,0.0294315628347187,0.00966344534415355,0.0304471478054924,0.0400589147439996,0.0256776158858795,0.0186715280511372,NA,0.0292991591425841,0.0204453680204604,NA,0.000790064122888084,0.00327986580236402,0.00570414474904939,0.0456746387409792
"8",2010-01-13,NA,0.028833391232008,0.0215677394957068,0.0022208570586551,0.0131196897947726,0.00905634398236217,0.0140447143415651,0.0192812548775773,0.0239888331892948,0.00816476298285045,0.0335202134194969,0.00789154109720014,0.0249605765719165,0.0351075552471574,0.0207808305809146,0.0248674205576765,NA,0.0128463016665039,0.0170435522257289,NA,0.000853953480057173,0.00335748519480842,0.00609077349233419,0.0231010133915628
"9",2010-01-14,NA,0.015899302917938,0.0146353684322532,0.00247087211163813,0.0127833533280024,0.00971133912813334,0.0124789567730235,0.0155326834553403,0.0197236997386958,0.00830965030647863,0.0344157560548961,0.00848038725849234,0.0211506983937854,0.0368856580075208,0.0169138387859988,0.015576337822255,NA,0.011987571861815,0.0171954327244195,NA,0.00100689828322483,0.0040816382434711,0.00841305499545608,0.0181277440862858
"10",2010-01-15,0.0142705334423433,0.0156676566367138,0.0136159753480487,0.00202441261846845,0.0107795955028154,0.00485206502395409,0.0124605846268029,0.0152492293221879,0.0337598982873109,0.00582296898292265,0.0255045348099231,0.00985347167190596,0.0316806071467393,0.0253144228527047,0.0145302778328619,0.0118861542004697,0.01169807061078,0.0125508230404233,0.0135407231930769,0.0159153309170573,0.000916644871846577,0.00333986190634945,0.00598997986062131,0.014094349253028
